dataset_id,instrument,panel,series_label,time_days_since_fermi_gbm,time_s_since_trigger,value,value_err,value_unit,is_upper_limit,source_arxiv,source_table,source_file,notes
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,0.39834,34416.576,17.21,0.01,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,0.39908,34480.512,16.15,0.01,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,1.27230,109926.72,18.85,0.02,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT g,1.27097,109811.81,20.33,0.06,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT z,1.27404,110077.06,17.06,0.01,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,1.27316,110001.02,17.77,0.01,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,1.30908,113104.51,18.87,0.02,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,1.31046,113223.74,17.80,0.01,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT z,1.31186,113344.7,17.10,0.01,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT g,1.39474,120505.54,20.41,0.12,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,1.39607,120620.45,19.03,0.04,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,1.39694,120695.62,17.93,0.01,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT z,1.39781,120770.78,17.21,0.01,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,2.26839,195988.9,18.69,0.02,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,2.26689,195859.3,19.84,0.05,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT z,2.26991,196120.22,18.02,0.01,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,2.29593,198368.35,19.84,0.05,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT g,2.29441,198237.02,21.05,0.12,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,2.29698,198459.07,18.73,0.02,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT z,2.29803,198549.79,17.99,0.02,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,3.27665,283102.56,19.29,0.03,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,3.27434,282902.98,20.31,0.05,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT z,3.27863,283273.63,18.43,0.07,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT g,3.28182,283549.25,21.61,0.19,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,3.28371,283712.54,20.33,0.09,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,3.28475,283802.4,19.28,0.03,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT z,3.28579,283892.26,18.55,0.03,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,7.27887,628894.37,21.60,0.08,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,7.28154,629125.06,20.44,0.03,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT z,7.28571,629485.34,19.68,0.03,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,7.28992,629849.09,20.37,0.03,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,7.29263,630083.23,21.44,0.08,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,8.27806,715224.38,20.58,0.04,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,8.27470,714934.08,21.68,0.08,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT z,8.28328,715675.39,19.94,0.04,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,8.28854,716129.86,20.69,0.05,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,8.29195,716424.48,21.91,0.13,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT r,10.28995,889051.68,22.04,0.11,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT i,10.29366,889372.22,21.07,0.06,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
laskar_lt_photometry,Liverpool Telescope IO:O,photometry_mag,LT z,10.29887,889822.37,20.27,0.05,AB mag,false,2302.04388,tab:data:lt,laskar_lt_photometry.csv,"Observed magnitude; no Milky Way extinction, host extinction, or host light correction."
